,by,descendants,id,kids,score,text,time,title,type,url
10,breck,96.0,40432834,"[40439339, 40433696, 40437897, 40437770, 40441354, 40437956, 40439585, 40433629, 40441265, 40439254, 40437851, 40433186, 40433788, 40438464, 40432934, 40439542, 40441193, 40441186, 40434715, 40433274, 40437748, 40434791, 40440173, 40434074, 40434994, 40433119, 40434612, 40436006, 40435641, 40434553]",245,,1716320196,Storing knowledge in a single long plain text file,story,https://breckyunits.com/scrollsets.html
11,zerojames,23.0,40414187,"[40439970, 40441526, 40441890, 40436884, 40441539, 40439357, 40440113, 40437615, 40437705]",78,,1716202915,Counted B-Trees (2017),story,https://www.chiark.greenend.org.uk/~sgtatham/algorithms/cbtree.html
12,andrewla,33.0,40429878,"[40440948, 40436753, 40439193, 40438584, 40442003, 40434853, 40435053, 40439273, 40436773, 40439502, 40436809, 40439154, 40440784, 40432550, 40440155, 40437919, 40436053, 40438229, 40435852, 40435732, 40439609, 40435327, 40436167]",140,,1716306064,Fast real time fluid simulator based on MPM algorithm,story,https://kotsoft.github.io/
13,bobismyuncle,3.0,40438664,"[40442111, 40440452]",16,,1716366464,Cover Agent: open source regression test generation tool,story,https://github.com/Codium-ai/cover-agent
14,momofuku,40.0,40434290,"[40442112, 40441456, 40440596, 40437332, 40441166, 40440837, 40436741, 40436136, 40437657, 40437777, 40437590, 40440051, 40436729, 40435831, 40436096, 40437752, 40436606, 40435826, 40436042]",146,,1716327335,The Stanford Startup and the MIT Startup (2013),story,http://fpgacomputing.blogspot.com/2013/11/the-stanford-startup-and-mit-startup.html
15,sensiquest,105.0,40430868,"[40436603, 40432545, 40441191, 40436688, 40438851, 40436889, 40438081, 40439360, 40436354, 40440853, 40436540, 40436333, 40433187, 40434749, 40433293]",141,,1716310366,The Effects of Early Relational Trauma (2001) [pdf],story,https://www.allanschore.com/pdf/SchoreIMHJTrauma01.pdf
16,throw0101d,197.0,40429581,"[40431961, 40431700, 40431523, 40440195, 40432068, 40434081, 40440431, 40431892, 40433308, 40431969, 40432447, 40433500, 40435829, 40431511, 40432253]",224,,1716304740,Business Booms and Depressions Since 1775 (1943),story,https://fraser.stlouisfed.org/title/business-booms-depressions-since-1775-145
17,thunderbong,22.0,40436560,"[40441759, 40439207, 40437160, 40437313, 40439383, 40440579, 40439058]",96,,1716342864,Tillywork: Open-Source Work Management,story,https://github.com/tillywork/tillywork
18,jmount,123.0,40431210,"[40441401, 40437878, 40434550, 40431321, 40438130, 40433688, 40441732, 40433602, 40439665, 40440545, 40434513, 40440933, 40436699, 40433838, 40433484, 40431400, 40441133, 40431332, 40439246, 40438556, 40434696, 40436359, 40438973, 40433834, 40438269, 40431279]",196,,1716311986,"I want flexible queries, not RAG",story,https://win-vector.com/2024/05/21/i-want-flexible-queries-not-rag/
19,ks2048,130.0,40433511,"[40434554, 40433840, 40439599, 40435139, 40434648, 40433997, 40434781, 40439527, 40438877, 40433847, 40437557, 40437418, 40433958]",187,,1716323550,"Wikimedia Enterprise – APIs for LLMs, AI Training, and More",story,https://enterprise.wikimedia.com/
20,gmays,5.0,40440662,"[40441884, 40441974]",14,,1716384285,Mars rover mission will use pioneering nuclear power source,story,https://www.nature.com/articles/d41586-024-01487-6
21,geox,36.0,40439379,"[40439909, 40440760, 40441584, 40440946, 40440171, 40441334, 40440625, 40441377]",76,,1716373995,Viral DNA in the human genome linked to major psychiatric disorders,story,https://medicalxpress.com/news/2024-05-ancient-viral-dna-human-genome.html
22,lindesvard,75.0,40432213,"[40440909, 40439785, 40441831, 40434257, 40437813, 40440724, 40439418, 40434779, 40439295, 40436394, 40437204, 40436872, 40436730, 40438349, 40435675, 40436993, 40434294, 40433747, 40435604, 40438901, 40433800, 40432214]",190,"I have created an open-source alternative to Mixpanel and will explain a bit about why I decided to do this.<p>Mixpanel is a GREAT tool and quite easy to understand (compared to GA4 and similar). I have used Mixpanel extensively for one of my React Native apps, but the last invoice was $300, which was way over my budget. I think I was paying for MTU (monthly tracked users), which was around 7000-10k users.<p>However, a downside of Mixpanel is that it is purely a product analytics tool; you don&#x27;t get any basic web analytics similar to what GA4 or Plausible offers.<p>Therefore, I have combined the best features of Mixpanel and Plausible to create what I believe is the ultimate experience in an analytics tool (product and web).<p>The focus has always been: it should be easy yet also powerful. This has been a challenging balance, but I think I have managed to keep it somewhat simple.<p>Key Features:
- Privacy-first
- Visualize your events like Mixpanel
- Plausible-like overview
- Self-hostable
- Better support for React Native than Plausible
- Real-time (no delays for events)
Ability to access all individual events and sessions<p>It&#x27;s currently in beta and completely free during the beta period.<p>Give it a spin: <a href=""https:&#x2F;&#x2F;openpanel.dev"" rel=""nofollow"">https:&#x2F;&#x2F;openpanel.dev</a>",1716317030,Show HN: Openpanel – An open-source alternative to Mixpanel,story,https://github.com/Openpanel-dev/openpanel
23,sklargh,32.0,40434874,"[40436638, 40437434, 40441627, 40437004, 40436023, 40441365, 40437107, 40437193, 40437439]",86,,1716330915,Designed to Crash: the story of Antonov An-28 HA-LAJ and its demise,story,https://admiralcloudberg.medium.com/designed-to-crash-the-bizarre-story-of-antonov-an-28-ha-laj-and-its-demise-169b3720d924
24,sblank,2.0,40436796,"[40441574, 40441240]",44,,1716345371,When Kodak and Polaroid went to war,story,https://steveblank.com/2024/05/16/secret-history-when-kodak-went-to-war-with-polaroid/
25,delaugust,334.0,40428386,"[40430177, 40428937, 40432896, 40429669, 40441783, 40437031, 40431027, 40429165, 40429458, 40430690, 40429912, 40428964, 40440931, 40435417, 40429267, 40433361, 40432615, 40437509, 40428992, 40438645, 40431138, 40429556, 40434360, 40436656, 40429004, 40429337, 40439151, 40439065, 40439611, 40435722, 40439329, 40433042, 40429496, 40431014, 40429353, 40433047, 40430415, 40431889, 40430967, 40437710, 40429449, 40429957, 40431473, 40432661, 40431020, 40429969, 40430500, 40429000, 40429805, 40432618, 40431255, 40429185, 40435964, 40430762, 40431209, 40429564, 40435370, 40429118, 40429112, 40431078, 40429302, 40429681]",668,,1716298899,What UI density means and how to design for it,story,https://matthewstrom.com/writing/ui-density/
26,samwillis,210.0,40428827,"[40431248, 40431806, 40431230, 40430443, 40431570, 40431387, 40430710, 40439396, 40433228, 40430544, 40430516, 40430530, 40431560, 40434223, 40430368, 40432001, 40431459, 40430583, 40431913, 40435467, 40431034, 40438559, 40435131, 40430166, 40434824, 40433929, 40431975, 40433139, 40431375, 40432679, 40431572, 40433608, 40430700, 40437667, 40431316, 40430344, 40434347, 40430645]",584,,1716301196,CADmium: A local-first CAD program built for the browser,story,https://mattferraro.dev/posts/cadmium
27,vin10,33.0,40428032,"[40437460, 40433742, 40436288, 40438498, 40438443]",111,,1716296950,Abusing url handling in iTerm2 and Hyper for code execution,story,https://vin01.github.io/piptagole/escape-sequences/iterm2/hyper/url-handlers/code-execution/2024/05/21/arbitrary-url-schemes-terminal-emulators.html
28,CharlesW,11.0,40435504,"[40441549, 40441793, 40441691, 40441045, 40441655, 40441951, 40440507, 40441357]",54,,1716334142,mactop,story,https://github.com/context-labs/mactop
29,sabrina_ramonov,60.0,40429200,"[40429500, 40432471, 40430064, 40432903, 40432157, 40430689, 40440140, 40434617, 40429975, 40431083, 40438744, 40429333, 40430318, 40430422, 40433348, 40429841, 40432694, 40429640, 40429727, 40429760]",284,,1716302862,Show HN: I built a game to help you learn neural network architectures,story,https://graphgame.sabrina.dev/
30,smusamashah,40.0,40426890,"[40439354, 40429908, 40429623, 40440866, 40440262, 40430793, 40431991, 40439219, 40432461, 40430851, 40430565, 40438594, 40429734, 40434847, 40435058, 40431008, 40432009, 40429526]",188,,1716290495,Images that Sound: Generating spectrograms that are also images,story,https://ificl.github.io/images-that-sound/
31,1wheel,26.0,40429540,"[40436757, 40437406, 40440410, 40434403, 40438615, 40438502, 40436795, 40434535, 40435879, 40432727]",137,,1716304552,Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet,story,https://transformer-circuits.pub/2024/scaling-monosemanticity/
32,norton120,30.0,40427973,"[40427974, 40428592, 40429678, 40428502, 40428954, 40428414, 40430379]",92,,1716296708,40-Year old BASICA utility code for teaching,story,https://github.com/norton120/educator-tools-87
33,bookofjoe,9.0,40441650,"[40442055, 40441798, 40441840, 40441826, 40441952, 40441839, 40441778, 40441843]",29,,1716389148,TSMC EUV machines equipped with remote self-destruct in case of invasion,story,https://www.tomshardware.com/tech-industry/tsmcs-euv-machines-are-equipped-with-a-remote-self-destruct-in-case-of-an-invasion
34,kamaraju,5.0,40441319,"[40442064, 40442091, 40442033, 40442013, 40442044, 40442027]",8,,1716387398,Working with Excel Files in Python,story,https://www.python-excel.org/
35,todsacerdoti,23.0,40432515,"[40437750, 40437692, 40437880, 40437423, 40441366, 40437407, 40436597, 40438009]",49,,1716318478,Degoogled Android – My Experience,story,https://lilysthings.org/blog/degoogled-android/
36,alexzeitler,147.0,40437535,"[40440088, 40438003, 40437882, 40438082, 40437990, 40438695, 40438029, 40438149, 40438031, 40437853, 40438112, 40438267, 40441440, 40438045, 40440189, 40437857, 40437906, 40439177, 40439442, 40437931, 40439803, 40438387, 40440919, 40438312, 40438097, 40438275, 40438025, 40437986, 40438866, 40438136, 40440747, 40438366, 40438019, 40439416, 40438345, 40438289, 40438219, 40438209]",136,,1716354560,"Alacritty – A fast, cross-platform, OpenGL terminal emulator",story,https://github.com/alacritty/alacritty
37,gronky_,38.0,40426995,"[40427326, 40431122, 40429926, 40427370, 40427533, 40428053, 40428823, 40428491, 40428903, 40432184, 40432294, 40429060, 40428580]",135,,1716291447,We created the first open source implementation of Meta's TestGen–LLM,story,https://www.codium.ai/blog/we-created-the-first-open-source-implementation-of-metas-testgen-llm/
38,andrewla,2.0,40434743,"[40441214, 40439194, 40437951]",19,,1716329947,The complex William Jennings Bryan (2007),story,https://ideonexus.com/2007/12/02/the-complex-william-jennings-bryan/
39,thunderbong,176.0,40424304,"[40426883, 40425541, 40424806, 40425010, 40427977, 40428630, 40431127, 40425107, 40425832, 40424918, 40425857, 40425240, 40426188, 40425186, 40428421, 40433752, 40428817, 40430268, 40424981, 40425001, 40428093, 40427510, 40428088, 40433048, 40429697, 40431135, 40425254, 40427749, 40426303, 40425869, 40425671]",343,,1716267367,Shipbreaking,story,https://www.edwardburtynsky.com/projects/photographs/shipbreaking
40,gatesn,275.0,40424938,"[40437526, 40425319, 40432178, 40425512, 40425245, 40425409, 40425380, 40425351, 40425628, 40439715, 40425321, 40425484, 40433731, 40433952, 40432297, 40425784, 40438110, 40425388, 40425395, 40438539, 40438276, 40436253, 40425350, 40435626, 40425423, 40436543, 40437123, 40425593, 40432975, 40425384, 40439879, 40438204, 40425283, 40425519, 40425424, 40425374, 40430641, 40425356, 40438214, 40435875, 40425372, 40425417, 40425239, 40425328, 40425261, 40425950, 40425233, 40425220, 40426437, 40425292, 40433311, 40432082, 40432000, 40425446, 40426828, 40425129]",189,,1716273966,Taking Risk,story,https://tomblomfield.com/post/750852175114174464/taking-risk
41,mmphosis,39.0,40425905,"[40427294, 40431192, 40430647, 40428720, 40428379, 40427858, 40428811, 40434966, 40430741, 40437848, 40431333, 40430349, 40430902, 40434750, 40428585, 40436457]",182,,1716282646,Reversing Choplifter,story,https://blondihacks.com/reversing-choplifter/
42,cl3misch,59.0,40426442,"[40428091, 40428363, 40431936, 40428078, 40428677, 40432061, 40430765, 40427832, 40428076, 40437645, 40429612, 40428555, 40428607, 40432433]",235,,1716286566,Gifski: Optimized GIF Encoder,story,https://github.com/ImageOptim/gifski
43,belter,0.0,40441445,,5,,1716388133,Simple idea cuts cargo ship emissions by 17.3% in first trials,story,https://newatlas.com/marine/blue-visby-cargo-emissions/
44,lis,3.0,40432593,"[40439584, 40437646]",25,,1716318966,ArgoCD: Use of Risky or Missing Cryptographic Algorithms in Redis Cache,story,https://github.com/argoproj/argo-cd/security/advisories/GHSA-9766-5277-j5hr
45,belter,51.0,40439481,"[40440538, 40440845, 40440164, 40440489, 40440540, 40441622, 40440607, 40440979, 40440093]",48,,1716375100,A comet approaching Earth could become brighter than the stars this fall,story,https://www.space.com/comet-tsuchinshan-atlas-fall-2024
46,yamrzou,1.0,40414268,[40438592],15,,1716203800,A Guide for the Young Academic Politician (1908),story,https://larvatus.livejournal.com/222591.html
47,todsacerdoti,10.0,40431663,"[40440717, 40437929, 40435658, 40435627, 40436812]",45,,1716314467,25GBit/S on macOS and iOS,story,https://kittenlabs.de/blog/2024/05/17/25gbit/s-on-macos-ios/
48,bazil376,13.0,40440156,"[40440752, 40442017, 40441150, 40440441, 40441109, 40441724, 40441106, 40440321]",17,,1716381048,"Ask HN: What's an interesting, esoteric programming field?",story,
49,momonga,38.0,40422997,"[40423838, 40426218, 40431841, 40429172, 40425051, 40425029, 40424419]",131,,1716254818,Regular expression matching can be simple and fast (2007),story,https://swtch.com/%7Ersc/regexp/regexp1.html
50,ReadCarlBarks,30.0,40437096,"[40437390, 40442104, 40437746, 40440757, 40437949, 40440899, 40437981, 40438244, 40437708, 40440119, 40439842]",56,,1716349408,What We're Working on in Firefox,story,https://connect.mozilla.org/t5/discussions/here-s-what-we-re-working-on-in-firefox/td-p/57694
51,wonger_,9.0,40431789,"[40440871, 40435462, 40439531, 40440542, 40438085, 40432165]",35,,1716315129,Pomodoro Timer that looks like a kitchen timer,story,https://juicytimer.com/
52,vermaden,2.0,40414348,[40435775],59,,1716204653,Install Alpine Linux on FreeBSD Jail,story,https://it-notes.dragas.net/2024/01/18/installing-alpine-linux-on-a-freebsd-jail/
53,FredrikNoren,277.0,40426382,"[40432215, 40433614, 40427854, 40434774, 40428401, 40430549, 40433318, 40427569, 40428725, 40440527, 40431050, 40426383, 40427488, 40430280, 40436874, 40437833, 40433476, 40431243, 40429280, 40432488, 40429197, 40428138, 40429401, 40427778, 40428042, 40428946, 40432860, 40429016, 40431342, 40428998]",268,,1716285956,Building an AI game studio: what we've learned so far,story,https://braindump.me/blog-posts/building-an-ai-game-studio
54,peter_hansteen,18.0,40437464,"[40437631, 40437551, 40437614, 40437582, 40437633, 40438273, 40438063]",50,,1716353601,Possible firmware issues for Apple Silicon OpenBSD/ARM64 users,story,https://www.undeadly.org/cgi?action=article;sid=20240522045252
55,nonfamous,52.0,40431680,"[40435365, 40433179, 40433072, 40440905, 40434373, 40438755, 40433213, 40434066, 40433303, 40435434, 40432953, 40433225]",134,,1716314557,Microsoft Phi-3 Cookbook,story,https://github.com/microsoft/Phi-3CookBook
56,transpute,0.0,40437195,,8,,1716350478,The state of realtime and embedded Linux,story,https://lwn.net/Articles/970555/
57,plurby,49.0,40433425,"[40436018, 40436575, 40436588, 40436072, 40436444, 40435951, 40435761]",67,,1716323146,Windows Copilot Runtime,story,https://blogs.windows.com/windowsdeveloper/2024/05/21/unlock-a-new-era-of-innovation-with-windows-copilot-runtime-and-copilot-pcs/
58,croes,45.0,40439314,"[40439642, 40439604, 40439726, 40440598, 40440885, 40440468, 40440543, 40439901, 40439690, 40439799]",40,,1716373424,Autonomous AI Robot Creates a Shock-Absorbing Shape No Human Ever Could,story,https://scitechdaily.com/crushing-it-autonomous-ai-robot-creates-a-shock-absorbing-shape-no-human-ever-could/
59,srameshc,13.0,40441494,"[40442127, 40441800, 40441799, 40441880, 40441842, 40441703, 40441726]",26,,1716388334,Teslas Can Still Be Stolen with a Cheap Radio Hack–Despite New Keyless Tech,story,https://www.wired.com/story/tesla-ultra-wideband-radio-relay-attacks/
60,NayamAmarshe,5.0,40432490,"[40440128, 40440571, 40439484, 40432586]",22,,1716318345,Cobalt – Free and Open Source yt-dlp front end with no ads,story,https://cobalt.tools/
61,rntn,35.0,40440713,"[40441408, 40440991, 40441295, 40441041, 40441638, 40441854, 40440928, 40440892, 40440846]",38,,1716384534,Sam Altman's Inconsistent Candor Is Showing,story,https://gizmodo.com/sam-altman-openai-chatgpt-sky-inconsisten-candor-1851492281
62,lxm,22.0,40436077,"[40439571, 40440257, 40437668, 40440918, 40439719, 40439663, 40437164, 40438477, 40437966]",43,,1716338429,Russia-linked network uses AI to rewrite real news stories,story,https://www.economist.com/science-and-technology/2024/05/10/a-russia-linked-network-uses-ai-to-rewrite-real-news-stories
63,f_allwein,1.0,40439810,[40441960],4,,1716378288,Why did satirical genius Tom Lehrer swap worldwide fame for obscurity?,story,https://www.theguardian.com/music/article/2024/may/22/my-songs-spread-like-herpes-why-did-satirical-genius-tom-lehrer-swap-worldwide-fame-for-obscurity
64,sarimkx,71.0,40438960,"[40439921, 40439949, 40439375, 40440108, 40439319, 40439184, 40439824, 40439256, 40440435, 40440647, 40440766, 40439216, 40440502, 40440525, 40440458, 40438965, 40439656, 40440027, 40440344, 40440490, 40439877, 40440022, 40439725, 40439667, 40439549, 40439597, 40440673]",197,,1716369133,How and why to make a /now page on your site,story,https://sive.rs/now2
65,jpdpeters,362.0,40431126,"[40435890, 40433333, 40435027, 40433136, 40435503, 40435565, 40436628, 40436992, 40433386, 40435909, 40435944, 40433472, 40434075, 40433712, 40434147, 40437171, 40436511, 40433754, 40432872, 40433887, 40433728, 40433620, 40435269, 40433914, 40434677, 40433365, 40436965, 40438066, 40437271, 40437433, 40433921, 40434757, 40435586, 40436327, 40433485, 40431811, 40434718, 40433536, 40434650, 40438026, 40435026, 40437876, 40437024, 40437839, 40439608, 40434829, 40437650, 40432993, 40434256, 40437062, 40434089, 40433586, 40437547, 40432971, 40437613, 40431186, 40436315, 40433934, 40436142, 40434431, 40436141, 40434026, 40436817, 40437221, 40436218, 40435006, 40434629, 40433874, 40434852, 40438726, 40432882, 40436035, 40433976, 40434103, 40431220, 40435286, 40436052, 40434483, 40434602, 40433741, 40435498, 40437093, 40433560, 40433490, 40433505, 40431771, 40436385, 40436939, 40436100, 40436043, 40435654, 40435765, 40435333, 40433862, 40436104, 40435819, 40436876, 40433801, 40437600, 40435753, 40433593, 40436287]",400,"I used to work for Facebook and Google and constantly got asked questions like &quot;Hey, my Instagram account got blocked for no reason. Could you help me get it back?&quot;. I&#x27;d say yes, it would take me 10 min to fill out an internal form and 1 week later the account was back.<p>Even years after leaving, I still get these requests. So I built a marketplace for them. Let me know what you think!",1716311542,Show HN: Pls Fix – Hire big tech employees to appeal account suspensions,story,https://plsfix.co/
66,bubblehack3r,21.0,40416109,"[40424830, 40424267, 40424849, 40424261, 40424024, 40425005, 40425059, 40423294, 40424881, 40425675, 40423536, 40417798]",345,,1716216408,City in a Bottle – A 256 Byte Raycasting System,story,https://frankforce.com/city-in-a-bottle-a-256-byte-raycasting-system/
67,ColinWright,72.0,40424536,"[40431088, 40426991, 40429429, 40426903, 40427476, 40425333, 40427445, 40437516, 40434880, 40426556, 40426697, 40427233, 40432795, 40426490, 40429549]",216,,1716269632,How Might We Learn?,story,https://andymatuschak.org/hmwl/
68,dtonon,25.0,40426099,"[40428290, 40428521, 40431461, 40430719, 40430523, 40427625, 40428432, 40428703, 40430618]",84,"Oracolo is a minimalist blog powered by Nostr, that consists of a single html file, weighing only ~140Kb. It works also without a web server; for example you can send it via email as a business card.<p>Take it as a didactic experiment, it&#x27;s no production ready, indeed it has some limitations (no SEO friendly structure), but can work as a temporary solution (e.g. coming soon and parking pages), and it is still an example of how easy it is to create a Nostr-powered web app and deploy it on a low-tech infrastructure.<p>Comments and suggestions on how to improve it are welcome!",1716283884,Show HN: Oracolo – A minimalist Nostr blog in a single HTML file,story,https://github.com/dtonon/oracolo
69,wizerno,13.0,40428192,"[40428604, 40432577, 40438180, 40434420, 40435257, 40436153, 40436527]",45,,1716297833,The worst bug we faced at Antithesis,story,https://antithesis.com/blog/worst_bug/
70,yowmamasita,301.0,40426801,"[40427551, 40427138, 40427107, 40431728, 40427319, 40427780, 40427917, 40440476, 40427549, 40427575, 40427614, 40427353, 40427741, 40437345, 40427485, 40427044, 40431607, 40434489, 40436696, 40431881, 40434687, 40431891, 40427328, 40432650, 40430648, 40433145, 40428002, 40438433, 40427176, 40427076, 40427110, 40427075, 40427345]",164,,1716289689,One dead as London-Singapore flight hit by turbulence,story,https://www.bbc.com/news/articles/c8889d7x8j4o
71,sdenton4,73.0,40422940,"[40428882, 40424551, 40423860, 40428196, 40432414, 40425858, 40432482, 40434180, 40424863, 40424747, 40424273, 40425049, 40423646, 40423171, 40424785, 40426810, 40425613, 40427038, 40424734]",228,,1716254255,Bento3D,story,https://polar-tadpole-97b.notion.site/Bento3D-e40483712b304d389d7c2da26196e113#d7f452d3ffd94cd1a0a9e70e361efb63
72,gabrielbirnbaum,40.0,40423082,"[40424268, 40424326, 40424593, 40425691, 40424166, 40424116, 40427398, 40424773, 40424576, 40424964, 40424401]",294,,1716255473,Chameleon: Meta’s New Multi-Modal LLM,story,https://arxiv.org/abs/2405.09818
73,Hadi7546,261.0,40408880,"[40416362, 40410017, 40409176, 40417782, 40409542, 40409289, 40410305, 40417163, 40410606, 40409167, 40413793, 40413957, 40408881, 40409335, 40416890, 40415508, 40414453, 40415313, 40416785, 40409498, 40411509, 40410438, 40411834, 40409203, 40409035, 40409366]",1025,,1716144126,Llama3 implemented from scratch,story,https://github.com/naklecha/llama3-from-scratch
74,miohtama,129.0,40425315,"[40427040, 40430385, 40427201, 40440666, 40433355, 40426748, 40431501, 40426889, 40426715, 40427049, 40433123, 40427016, 40427202, 40426849, 40426696, 40426751, 40426762, 40435995, 40426817, 40427205, 40426734, 40432145, 40426633, 40427769, 40427210, 40426739, 40426741]",61,,1716278116,CamelCase vs underscores: Scientific showdown (2011),story,https://whatheco.de/2011/02/10/camelcase-vs-underscores-scientific-showdown/
75,jdmark,7.0,40440329,"[40441557, 40440620, 40440608, 40441216]",14,,1716382372,US says Russia likely launched anti-satellite weapon,story,https://www.bbc.com/news/articles/cq55ww5j7e2o
76,belter,6.0,40439472,"[40441280, 40441342, 40439476, 40441451]",22,,1716375003,Meta AI chief says large language models will not reach human intelligence,story,https://www.ft.com/content/23fab126-f1d3-4add-a457-207a25730ad9
77,artoghrul,16.0,40437741,"[40441860, 40438668, 40439783, 40440980]",18,,1716357135,A United States of Europe,story,https://aeon.co/essays/could-we-recover-the-radical-vision-of-a-free-and-united-europe
78,tobr,73.0,40408291,"[40411614, 40409705, 40409551, 40410614, 40415476, 40413023, 40409729, 40420347, 40428664, 40414767, 40417875, 40410608, 40418075, 40412936, 40410474, 40413339, 40418359, 40410421, 40415310, 40410958, 40411842, 40410462, 40409298, 40409164, 40413507]",816,,1716138929,Coding My Handwriting,story,https://www.amygoodchild.com/blog/cursive-handwriting-in-javascript
79,belter,6.0,40438963,"[40439235, 40439067]",8,,1716369192,First crew launch of Boeing's Starliner capsule is on hold indefinitely,story,https://arstechnica.com/space/2024/05/the-first-crew-launch-of-boeings-starliner-capsule-is-on-hold-indefinitely/
80,smartmic,19.0,40419325,"[40422796, 40421337, 40424368, 40423056]",253,,1716233832,"How terminal works. Part 1: Xterm, user input (2021)",story,https://kevroletin.github.io/terminal/2021/12/11/how-terminal-works-in.html
81,luu,1.0,40435076,[40438050],8,,1716332012,How to compare two packed bitfields without having to unpack each field,story,https://devblogs.microsoft.com/oldnewthing/20190301-00/?p=101076
82,samaysharma,71.0,40417347,"[40420415, 40426999, 40421733, 40420746, 40421693, 40420316, 40426837, 40421238, 40426582, 40423521, 40420326, 40427001, 40421736, 40424793, 40420931, 40424468]",318,,1716223453,pg_timeseries: Open-source time-series extension for PostgreSQL,story,https://tembo.io/blog/pg-timeseries
83,claviska,155.0,40431444,"[40431738, 40432295, 40431759, 40432022, 40431783, 40431726, 40431709, 40433396, 40432058, 40431833, 40432711, 40432512, 40432185, 40433416, 40432210, 40436958, 40432160, 40432868, 40433672, 40433066, 40432905, 40432607, 40431684, 40431960, 40432029, 40432359, 40433890, 40432351, 40431722, 40432168]",307,,1716313299,Firefox bug gets fixed after 25 years,story,https://bugzilla.mozilla.org/show_bug.cgi?id=33654
